구분,단체이름,프로그램명,운영장소명,지원사업명,프로그램분야,프로그램대상,운영기간시작,운영기간종료,운영주소,시도,시군구,lat,lon
1,(주) 수앙,음율 팔레트-비상,강원특별자치도교육청 춘천가정형Wee센터 풀꽃마을학교,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","음악,미술,융복합","아동,청소년",2025-05-07,2025-10-29,강원특별자치도 춘천시 동면 만천로143번길 24,강원특별자치도,춘천시,37.8807864774327,127.759827756943
2,(주) 수앙,음율 팔레트-비상,강원특별자치도교육청 원주가정형Wee센터 숨길학교,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","음악,미술,융복합",청소년,2025-04-28,2025-11-03,강원특별자치도 원주시 판부면 용수골길 344,강원특별자치도,원주시,37.283442543206,127.939536054442
3,(주) 수앙,음율 팔레트-은빛 아티스트,양평군치매안심센터,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","음악,미술,융복합",노년,2025-08-08,2025-10-31,경기도 양평군 양평읍 마유산로 17,경기,양평군,37.4970350781635,127.48668110758
4,(주) 수앙,음율 팔레트-푸른 유목,상천초등학교Wee클래스,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","음악,미술,융복합","아동,청소년",2025-04-30,2025-10-23,강원특별자치도 춘천시 신북읍 상천2길 19,강원특별자치도,춘천시,37.9336084168825,127.785829584281
5,(주)감성스푼,캘포자?NO! 이제 난~ 캘승자!!,교도소(운영주소: 단체주소),,미술,"청년,중장년",2022-09-01,2022-09-30,경기도 하남시 미사대로 520,경기,하남시,37.5588264366331,127.204686431376
6,(사)참행복한(군포 그림책꿈마루),여름날의 더미북,군포 그림책꿈마루,2025 꿈다락 문화예술학교,"미술,문학",중장년,2025-07-10,2025-10-23,경기도 군포시 청백리길 16,경기,군포시,37.3628859843903,126.933931641253
7,(사)참행복한(군포 그림책꿈마루),자연으로 짓는 그림책,군포 그림책꿈마루,2025 꿈다락 문화예술학교,"미술,문학",아동,2025-07-05,2025-09-13,경기도 군포시 청백리길 6,경기,군포시,37.3610235158794,126.935316401547
8,(사)극단에저또,움직이는 정거장 나를 찾아서,,꿈다락예술문화학교,연극/뮤지컬,노년,,,동구 초량동 31-3 봉생지역 사회관,부산,동구,35.1229052230183,129.040867466715
9,(주)극단민들레,"나와 내주변 둘러보기 <다시, 봄>",우정청소년문화의집,꿈다락문화예술학교,연극/뮤지컬,청소년,2024-06-29,2024-11-16,경기도 화성시 우정읍 장안로 13-5,경기,화성시 만세구,37.0892041461606,126.817909425378
10,(재)고래문화재단,어린이는 무엇을 믿는가 마주보다,,꿈다락예술문화학교,"미술,연극/뮤지컬,무용",아동,,,남구 장생포고래로 110 장생포문화창고5층,울산,남구,35.5034836806981,129.367286186486
11,(재)고래문화재단,예술쉼표 예술로 피어 나(我),,꿈다락예술문화학교,미술,"청년,중장년",,,남구 장생포고래로 110 장생포문화창고5층,울산,남구,35.5034836806981,129.367286186486
12,(재)고래문화재단,어린이는 무엇을 믿는가-마주보다2,장생포문화창고2층,2024 생애주기별문화예술교육지원사업,"공예,미술","아동,청소년",2024-07-06,2024-11-24,울산광역시 남구 장생포고래로 110,울산,남구,35.5034836806981,129.367286186486
13,(재)고래문화재단,편식 없는 문화 장보기,,꿈다락예술문화학교,"미술,연극/뮤지컬,무용","청년,중장년",,,남구 장생포고래로 110 장생포문화창고 5층 강의실,울산,남구,35.5034836806981,129.367286186486
14,(재)고래문화재단,예술쉼표-소소살롱,장생포문화창고 2층,2024 생애주기별문화예술교육지원사업,"공예,미술","청년,중장년",2024-06-25,2024-11-12,울산광역시 남구 장생포고래로 110,울산,남구,35.5034836806981,129.367286186486
15,(재)고래문화재단,편식없는 문화 장보기2,장생포문화창고2층,2024 생애주기별문화예술교육지원사업,"미술,융복합","청년,중장년",2024-06-26,2024-11-27,울산광역시 남구 장생포고래로 110,울산,남구,35.5034836806981,129.367286186486
16,(재)고래문화재단,생애전환 문화예술학교 신박한 인생정리,,꿈다락예술문화학교,"미술,문학,연극/뮤지컬,무용",중장년,,,남구 장생포고래로 110 장생포문화창고5층,울산,남구,35.5034836806981,129.367286186486
17,(재)고래문화재단,신비한 예술마을 고래당,,꿈다락예술문화학교,미술,"아동,중장년",,,남구 장생포고래로 110 장생포문화창고5층,울산,남구,35.5034836806981,129.367286186486
18,(재)목포문화재단,2025 생활밀착형 문화예술교육 지원사업 「가가호호」,트윈스타 4층 (재)목포문화재단,2025 생활밀착형 문화예술교육 지원사업 「가가호호」,"음악,공예,미술,문학,기타",,2025-07-01,2025-09-30,전라남도 목포시 수문로 32,전남,목포시,34.79316775771,126.382906214503
19,(재)수성문화재단,가가호호,2층,2025생활밀착형 문화예술교육 지원사업,"공예,무용,미디어,융복합",,2025-07-05,2025-08-16,대구광역시 수성구 달구벌대로 2451,대구,수성구,35.8593746225039,128.630676542814
20,(재)안산문화재단,2025 꿈의 극단 '안산',안산문화예술의전당,2025 꿈의 극단 운영사업,연극/뮤지컬,청소년,2025-05-31,2025-11-15,경기도 안산시 단원구 화랑로 312,경기,안산시 단원구,37.3184271052101,126.823107286597
21,(재)완주문화재단,꿈의 무용단 운영사업,가족문화교육원,2024 꿈의 무용단 운영사업,무용,"아동,청소년",2024-04-27,2024-11-23,전북특별자치도 완주군 용진읍 완주로 456-39,전북특별자치도,완주군,35.9059918434128,127.158512273614
22,(재)완주문화재단,2025 꿈의 극단 '완주',완주향토예술문화회관,2025 꿈의 극단 운영사업,연극/뮤지컬,아동,2025-05-03,2025-11-29,전북특별자치도 완주군 삼례읍 삼봉로 215,전북특별자치도,완주군,35.9199003280376,127.093377204818
23,(재)울주문화재단,2024 <꿈의 무용단_울주>,울주문화예술회관,2024 <꿈의 무용단_울주>,무용,"아동,청소년",2024-05-11,2024-11-23,울산광역시 울주군 범서읍 천상중앙길 36,울산,울주군,35.5644309063786,129.23207292457
24,(재)종로문화재단,꿈다락문화예술학교 <종로영화국>,"우리소리도서관 4, 5층",2024 꿈다락문화예술학교,"음악,영화,연극/뮤지컬","청년,중장년",2024-09-02,2024-11-12,서울특별시 종로구 삼일대로30길 47,서울,종로구,37.5744920275842,126.990233369273
25,(재)종로문화재단,꿈의 극단 종로,혜화동 주민센터 자치회관 다목적실 지하1층,2025 꿈의 극단,연극/뮤지컬,아동,2025-05-21,2025-12-03,서울특별시 종로구 혜화로 12,서울,종로구,37.5868515419041,127.000623054549
26,(재)종로문화재단,2025 종로문화예술교육주간 <예술로 종로!>,4~5층,2025 생활밀착형 문화예술교육 가가호호,"국악,음악,공예,문학,연극/뮤지컬,무용,전통,건축,융복합",,2025-05-24,2025-06-15,서울특별시 종로구 새문안로 41,서울,종로구,37.5689816469659,126.969645715545
27,(재)천안문화재단,2024 꿈의 무용단 천안,1층,꿈의무용단,무용,"아동,청소년",2024-05-21,2024-12-03,충청남도 천안시 동남구 태조산길 261,충남,천안시 동남구,36.8220781941172,127.188954140775
28,(재)천안문화재단,2023 꿈의 댄스팀 천안,(재)천안문화재단,,무용,"아동,청소년",2023-05-01,2023-12-31,충청남도 천안시 서북구 성정8길 5 3층 천안문화재단,충남,천안시 서북구,36.8179059963222,127.141457787199
29,(재)천안문화재단,2023 꿈의 댄스팀 천안,(재)천안문화재단 3층 ,,무용,"아동,청소년",2023-05-01,2023-12-31,충청남도 천안시 서북구 성정8길 5,충남,천안시 서북구,36.8179059963222,127.141457787199
30,(재)행촌문화재단,자연생태예술_나의 작은우주 반려식물 이끼정원,,꿈다락예술문화학교,기타,"청년,중장년",,,해남군 해남읍 읍학동길 78-6 수윤아트스페이스,전남,해남군,34.5874791535232,126.581442254301
31,(재)행촌문화재단,주말예술캠퍼스 예술가 마을,,꿈다락예술문화학교,미술,"아동,청소년,청년,중장년",,,해남군 해남읍 읍학동길 78-6 수윤아트스페이스,전남,해남군,34.5874791535232,126.581442254301
32,(재)행촌문화재단,자급자족 손바닥 나무온실 만들기,,꿈다락예술문화학교,미술,"청년,중장년",,,해남군 해남읍 읍학동길 78-6 수윤아트스페이스,전남,해남군,34.5874791535232,126.581442254301
33,(주)블랙버터뮤직,"블랙버터로 만드는 ""행복한 음악 레시피""",서귀포시청소년상담복지센터,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」",음악,청소년,2025-05-30,2025-11-07,제주특별자치도 서귀포시 일주동로 8643,제주특별자치도,서귀포시,33.253754542617,126.564913150717
34,(주)블랙버터뮤직,"블랙버터로 만드는 ""행복한 음악 레시피""",제주시청소년상담복지센터,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」",음악,청소년,2025-06-14,2025-08-16,제주특별자치도 제주시 월랑북길 38,제주특별자치도,제주시,33.4927432063978,126.477361782517
35,(주)블랙버터뮤직,"블랙버터로 만드는 ""행복한 음악 레시피""",금천구치매안심센터,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」",음악,노년,2025-05-15,2025-10-30,서울특별시 금천구 시흥대로123길 11,서울,금천구,37.4702190458977,126.8970437257
36,(주)블랙버터뮤직,"블랙버터로 만드는 ""행복한 음악 레시피""",한별초등학교,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」",음악,아동,2025-05-14,2025-11-12,경기도 남양주시 별내4로 40,경기,남양주시,37.6464813564861,127.115935724129
37,(주)블랙버터뮤직,"블랙버터로 만드는 ""행복한 음악 레시피""",마포구정신건강복지센터,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」",음악,청년,2025-05-09,2025-11-07,서울특별시 마포구 성산로4길 15,서울,마포구,37.563368493241,126.907895665906
38,(주)블랙버터뮤직,"블랙버터로 만드는 ""행복한 음악 레시피""",별내중학교,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」",음악,청소년,2025-05-13,2025-11-11,경기도 남양주시 별내면 청학로132번길 30,경기,남양주시,37.7110097070209,127.112384851685
39,(재)김해문화재단 김해문화의전당,2024 꿈의오케스트라 김해,공연기획팀,2024 꿈의오케스트라 김해,음악,청소년,2024-03-11,2024-11-02,경상남도 김해시 김해대로 2060,경남,김해시,35.2437338143222,128.869410782674
40,(재)김해문화재단 김해문화의전당,2024 꿈의 무용단 김해,대연습실,2024 꿈의 무용단 김해,무용,"아동,청소년",2024-04-02,2024-11-05,경상남도 김해시 김해대로 2060,경남,김해시,35.2437338143222,128.869410782674
41,(재)김해문화재단 김해문화의전당,2025 꿈의 무용단 김해,김해문화의전당,2025 꿈의 무용단 김해,무용,"아동,청소년",2025-03-25,2025-11-05,경상남도 김해시 김해대로 2060,경남,김해시,35.2437338143222,128.869410782674
42,(사)한국음악협회 세종특별자치시지회,시니어들의 음악소풍!,,꿈다락예술문화학교,음악,"중장년,노년",,,"노을3로 85(한솔동), 한솔동 복합커뮤니티센터 정음관",세종특별자치시,,36.4791740367484,127.254667139178
43,(사)문화예술진흥회,꿈꾸는 예술놀이터,3층,예술시민문화예술교육,"음악,연극/뮤지컬",아동,2025-05-17,2025-07-19,광주광역시 서구 상무대로 721,광주,서구,35.1442174768523,126.842835799987
44,(사)문화예술진흥회,꿈과 희망을 전하는 봄편지꿈과 희망을 전하는 봄편지,,예술시민배움터,"음악,사진,미술,문학,융복합",아동,2024-06-08,2024-10-26,광주광역시 서구 상무대로 721,광주,서구,35.1442174768523,126.842835799987
45,(사)한국건축가협회 광주전남가회,행복을 담는 건축학교 오감으로 만나는 감성 건축,,꿈다락예술문화학교,건축,아동,,,서구 경열로17번길 20 아시아창작스튜디오 광주예총회관 3층 사.한국건축가협회 광주.전남건축가회 사무실,광주,서구,35.1526328479526,126.891312561266
46,(사)한국건축가협회 광주전남가회,삶을 디자인하는 집짓기,,꿈다락예술문화학교,건축,"청년,중장년",,,동구 조선대길 146 조선대학교 1공학관 12층 세미나실,광주,동구,35.1427410156916,126.93472378449
47,(사)지역문화공동체 경남정보사회연구소,인생을 속닥이니 노래가 되네,"1층, 봉곡평생학습센터",2024 생애주기별 문화예술교육 지원사업,"음악,융복합",중장년,2024-06-28,2024-11-09,경상남도 창원시 의창구 창이대로165번길 7,경남,창원시 의창구,35.2447096583489,128.65522333717
48,(사)문화조형연구센터,추자예술섬 바람을 담은 예술학교,A동,2025 꿈다락 문화예술학교(기획형),"디자인,공예,사진,미술,연극/뮤지컬","아동,청소년",2025-07-31,2025-08-21,제주특별자치도 제주시 추자면 오지박길 230,제주특별자치도,제주시,33.9506612638328,126.327002569945
49,(사)이강하기념사업회,미술관연계프로그램 아시아예술놀이터-Asia 챠챠! Asia 빠체!,,꿈다락예술문화학교,미술,아동,,,"남구 3.1만세운동길 6 이강하미술관, 남구 양림동 202-22 오월어머니집",광주,남구,35.1369072609304,126.915664600687
50,(재)고창문화관광재단,동촌마을 주민 산책 매뉴얼,동촌마을회관,2024 예술로 어울림,"음악,미술,무용","중장년,노년",2024-09-06,2024-11-22,전북특별자치도 고창군 상하면 동촌1길 53,전북특별자치도,고창군,35.4662492988778,126.462143321431
51,(재)고창문화관광재단,오색빛깔 가족공방,하늘땅지역아동센터,2025 생활밀착형 문화예술교육 지원사업 '가가호호',공예,"아동,청소년,중장년",2025-07-23,2025-09-17,전북특별자치도 고창군 성내면 낙산로 350-6,전북특별자치도,고창군,35.5357552791634,126.749408038234
52,(재)고창문화관광재단,엄마랑 나랑,루아커피,2025 생활밀착형 문화예술교육 지원사업 '가가호호',융복합,"아동,청소년,중장년,노년",2025-08-07,2025-09-18,전북특별자치도 고창군 고창읍 천변남로 152,전북특별자치도,고창군,35.4335027702312,126.708462388019
53,(재)고창문화관광재단,전통놀이로 마음과 몸을 잇다,전북대고창캠패서 고창문화관광재단 2층,2025 생활밀착형 문화예술교육 지원사업 '가가호호',융복합,"아동,청소년,중장년",2025-10-11,2025-11-08,전북특별자치도 고창군 고창읍 태봉로 361,전북특별자치도,고창군,35.4345374931028,126.657551976961
54,(재)고창문화관광재단,혜진의 상자 <뜨는마음>,고창 동네발전소,2024 예술로 어울림,공예,"청년,중장년",2024-10-10,2024-11-07,전북특별자치도 고창군 고창읍 남정7길 7,전북특별자치도,고창군,35.4333601111723,126.701024297604
55,(재)고창문화관광재단,내얼굴 내 이야기,하늘땅지역아동센터,2025 생활밀착형 문화예술교육 지원사업 '가가호호',미술,"아동,청소년,중장년",2025-06-21,2025-08-23,전북특별자치도 고창군 성내면 낙산로 350-6,전북특별자치도,고창군,35.5357552791634,126.749408038234
56,(재)고창문화관광재단,향기로 만나는 내 마음,모양성마을 어울림센터 2층(마음봄센터),2025 생활밀착형 문화예술교육 지원사업 '가가호호',융복합,"아동,청소년,중장년",2025-06-26,2025-07-31,전북특별자치도 고창군 고창읍 동산4길 22,전북특별자치도,고창군,35.4323122589596,126.708290589012
57,(재)고창문화관광재단,흙으로 빚는 가족 이야기,동곡요,2025 생활밀착형 문화예술교육 지원사업,공예,"아동,청소년,중장년",2025-08-30,2025-09-27,전북특별자치도 고창군 고창읍 동리로 118,전북특별자치도,고창군,35.4325113034573,126.705150307526
58,(재)고창문화관광재단,오감으로 만나는 갯벌,하전갯벌체험장,2024 예술로 어울림,기타,"아동,청소년,청년,중장년,노년,장애인",2024-08-08,2024-08-24,전북특별자치도 고창군 심원면 서전길 30,전북특별자치도,고창군,35.5397442531406,126.564945290352
59,(재)고창문화관광재단,"마음을 챙기는 그림책, 몸을 챙기는 움직임",검곡마을회관,2024 예술로 어울림,"미술,무용","중장년,노년",2024-08-21,2024-10-16,전북특별자치도 고창군 부안면 검곡길 10,전북특별자치도,고창군,35.5249579700641,126.668735847275
60,(재)고창문화관광재단,환경요정의 예술놀이,고창청소년문화센터,2024 예술로 어울림,융복합,"아동,청소년",2024-08-21,2024-09-25,전북특별자치도 고창군 고창읍 중앙로 292,전북특별자치도,고창군,35.4353521144594,126.706649822867
61,(재)고창문화관광재단,다함께 두드림 (다문화+드림+어울림),고창가족센터,2024 예술로 어울림,음악,청소년,2024-10-24,2024-11-07,전북특별자치도 고창군 고창읍 성산로 57,전북특별자치도,고창군,35.4384412771366,126.698995248254
62,(재)고창문화관광재단,그림책 꽃이 피었습니다,고창군공동체지원센터 2층(마음봄센터),2025 생활밀착형 문화예술교육 지원사업 '가가호호',융복합,"아동,청소년,중장년,노년",2025-07-02,2025-08-06,전북특별자치도 고창군 고창읍 동산4길 22,전북특별자치도,고창군,35.4323122589596,126.708290589012
63,(재)고창문화관광재단,시니어스의 화려한 외출 <7가지의 보물을 찾아서>,우쿠렐레 동호회실 및 고창관내 명소(야외),2024 예술로 어울림,음악,"중장년,노년",2024-09-23,2024-10-21,전북특별자치도 고창군 고창읍 석정2로 140,전북특별자치도,고창군,35.4304441578681,126.737746088177
64,(재)고창문화관광재단,"마음의 숲, 드나들다",고창 신재효 판소리공원 체험실2,2024 예술로 어울림,"음악,기타","아동,청소년,청년,중장년,노년,장애인",2024-08-29,2024-10-24,전북특별자치도 고창군 고창읍 중거리당산로 148,전북특별자치도,고창군,35.4325548649229,126.70215022269
65,(재)고창문화관광재단,독곡마을 치유요리책 <살면서 힘이 된 요리들>,독곡마을회관,2024 예술로 어울림,"미술,기타","중장년,노년",2024-08-01,2024-09-26,전북특별자치도 고창군 아산면 독곡길 24-8,전북특별자치도,고창군,35.4481205162803,126.634995172698
66,(재)영주문화관광재단,백 투 더 신혼일기,148아트스퀘어,2025 생활밀착형 문화예술교육 지원사업,사진,"중장년,노년",2025-10-15,2025-11-19,경상북도 영주시 대학로 77,경북,영주시,36.8070011304818,128.616142369978
67,(재)영주문화관광재단,당신과의 ○○을 세어보아요,영주시노인복지관,2025 생활밀착형 문화예술교육 지원사업,문학,"중장년,노년",2025-09-02,2025-09-25,경상북도 영주시 원당로52번길 19,경북,영주시,36.8185450840972,128.621855182751
68,(재)영주문화관광재단,우리 가족 합!,148아트스퀘어,2025 생활밀착형 문화예술교육 지원사업,음악,,2025-08-06,2025-09-24,경상북도 영주시 대학로 77,경북,영주시,36.8070011304818,128.616142369978
69,(재)영주문화관광재단,자음과 모음과 마음들,148아트스퀘어,2025 생활밀착형 문화예술교육 지원사업,문학,"아동,청소년,중장년",2025-07-22,2025-08-14,경상북도 영주시 대학로 77,경북,영주시,36.8070011304818,128.616142369978
70,(재)영주문화관광재단,엄마가 태어난 곳은?,영주어울림가족센터,2025 생활밀착형 문화예술교육 지원사업,미술,아동,2025-08-02,2025-08-23,경상북도 영주시 중앙로 20,경북,영주시,36.8191619162703,128.619032452604
71,(재)영주문화관광재단,토요팝아트,영주어울림가족센터,2025 생활밀착형 문화예술교육 지원사업,미술,"아동,청년,중장년",2025-08-02,2025-09-20,경상북도 영주시 중앙로 20,경북,영주시,36.8191619162703,128.619032452604
72,(재)영주문화관광재단,닮은 곳이 있대요,가흥1동 주민센터,2025 생활밀착형 문화예술교육 지원사업,사진,"아동,중장년",2025-09-03,2025-10-01,경상북도 영주시 대동로13번길 9,경북,영주시,36.8159935048171,128.603457118671
73,(재)익산문화관광재단,"꼬불꼬불, 내 마음에서 뛰쳐나온 나이테",익산시 생활문화센터,2025 생활밀착형 문화예술교육 지원사업 가가호호,"미술,문학","유아,아동,노년",2025-05-10,2025-05-24,전북특별자치도 익산시 서동로4길 37,전북특별자치도,익산시,35.9296440905603,126.960960934945
74,(재)익산문화관광재단,행복한 반려생활을 꿈꾸는 우리 가족,마동근린공원(수림재),2025 생활밀착형 문화예술교육 지원사업 가가호호,융복합,,2025-06-07,2025-06-28,전북특별자치도 익산시 고봉로4길 46,전북특별자치도,익산시,35.9387726915257,126.966296822992
75,(재)익산문화관광재단,금손이 아니여도 괜찮아! 우리 가족 애착 인형의 ‘꿈’,익산솜리문화의숲,2025 생활밀착형 문화예술교육 지원사업 가가호호,"공예,연극/뮤지컬","유아,아동,중장년",2025-05-17,2025-05-31,전북특별자치도 익산시 인북로12길 28,전북특별자치도,익산시,35.9335358516698,126.95410790398
76,(재)인천중구문화재단,시니어 치유 원예 예술교육 프로그램 -마음을 꽃 피우다-,,꿈다락예술문화학교,미술,노년,,,중구 차이나타운로59번길 15 개항장 문화마당 생활문화센터,인천,중구,37.4741408975229,126.619052726983
77,(재)인천중구문화재단,펄펀(fun) 탐험대,,꿈다락예술문화학교,"미술,기타","청년,중장년",,,중구 자연대로 41 206호 다락모두다즐거워지는곳,인천,중구,37.4884013508593,126.559567195438
78,(재)인천중구문화재단,"토요 낭독극 - 나를 만나, 인생을 읽다","2층, 내리마루 문화쉼터",인천 꿈다락 문화예술학교,기타,중장년,2025-06-21,2025-10-11,인천광역시 중구 신포로46번길 5,인천,중구,37.4727659325745,126.62686442177
79,(재)인천중구문화재단,생애주기별 문화예술교육 「꿈다락 문화예술학교」 가족생태예술교육 소리로 이해하는 생태 이야기, 영종역사관 교육실,,"음악,융복합,기타","아동,청소년",2023-07-23,2023-08-24,인천광역시 중구 구읍로 63,인천,중구,37.4890698389967,126.577714541121
80,(재)인천중구문화재단,2023 꿈의 댄스팀 운영 사업_인천 중구 ‘댄스로 나르샤’ (A_원도심),개항장 문화마당 생활문화센터 2층,,"무용,융복합","아동,청소년",2023-06-22,2023-11-16,인천광역시 중구 차이나타운로59번길 15,인천,중구,37.4741408975229,126.619052726983
81,(재)인천중구문화재단,개항장 씬(SCENE) 탐험대,2층 내리마루 문화쉼터,생애주기별 문화예술교육지원사업 꿈다락문화예술학교,"공예,미술",아동,2025-07-06,2025-09-07,인천광역시 중구 신포로46번길 5,인천,중구,37.4727659325745,126.62686442177
82,(재)인천중구문화재단,마루마루꼬마작곡가,2층 내리마루 문화쉼터,생애주기별 문화예술교육지원사업 꿈다락문화예술학교,음악,아동,2025-07-05,2025-09-27,인천광역시 중구 신포로46번길 5,인천,중구,37.4727659325745,126.62686442177
83,(재)인천중구문화재단,생애주기별 문화예술교육 「꿈다락 문화예술학교」 펄펀(fun) 탐험대,다락모두다즐거워지는곳,,"융복합,기타","아동,청소년,청년,중장년",2023-08-03,2023-10-12,인천광역시 중구 자연대로 41,인천,중구,37.4884013508593,126.559567195438
84,(재)인천중구문화재단,"마음의 새싹을 심다,마음을 띄우다",2층 내리마루 문화쉼터,생애주기별 문화예술교육지원사업 꿈다락문화예술학교,"공예,기타",노년,2025-07-09,2025-11-26,인천광역시 중구 신포로46번길 5,인천,중구,37.4727659325745,126.62686442177
85,(재)인천중구문화재단,생애주기별 문화예술교육 「꿈다락 문화예술학교」 시니어 치유 원예 예술교육 프로그램  마음을 꽃 피우다,개항장문화마당생활문화센터,,"미술,공예,기타",노년,2023-08-04,2023-11-24,인천광역시 중구 차이나타운로59번길 15,인천,중구,37.4741408975229,126.619052726983
86,(재)인천중구문화재단,2023 꿈의 댄스팀 운영 사업_인천 중구 ‘댄스로 나르샤’ (B_영종국제도시),영종동행정복지센터 2층 어린이합창단 연습실,,"무용,융복합","아동,청소년",2023-06-24,2023-11-18,인천광역시 중구 운남서로 100 영종동행정복지센터 2층 어린이합창단 연습실,인천,중구,37.4940654398829,126.531404784892
87,(재)인천중구문화재단,가족생태예술교육 소리로 이해하는 생태 이야기,,꿈다락예술문화학교,"음악,기타","아동,중장년",,,중구 구읍로 63 영종역사관,인천,중구,37.4890698389967,126.577714541121
88,(재)인천중구문화재단,꿈의무용단 인천중구,"2, 3층",꿈의무용단 운영사업,무용,"아동,청소년",2024-04-06,2024-11-09,인천광역시 중구 신포로27번길 83-1,인천,중구,37.4733735583709,126.620916274984
89,(재)인천중구문화재단,꿈의무용단 '인천중구',2층 내리마루 문화쉼터,꿈의무용단 운영사업,무용,"아동,청소년",2025-03-08,2025-12-13,인천광역시 중구 신포로46번길 5,인천,중구,37.4727659325745,126.62686442177
90,(재)행복북구문화재단,꿈의 무용단 대구북구,어울아트센터,꿈의 무용단 운영사업,무용,"아동,청소년",2025-05-24,2025-12-06,대구광역시 북구 구암로 47,대구,북구,35.935867349278,128.545128715408
91,(재)행복북구문화재단,예술 시간 여행! 아트타임슬립,어울아트센터,2024 꿈다락 문화예술학교,"음악,미술","아동,청소년",2024-09-21,2024-11-23,대구광역시 북구 구암로 47,대구,북구,35.935867349278,128.545128715408
92,(재)정선아리랑문화재단,꿈의 오케스트라 정선,사북청소년장학센터,2024 꿈의 오케스트라 '꿈의 향연',음악,"아동,청소년",2024-02-29,2024-05-23,강원특별자치도 정선군 사북읍 사북6길 12-6,강원특별자치도,정선군,37.2286266400294,128.81939910895
93,(재)화순군문화관광재단,2025생활밀착형 문화예술교육지원사업 '가가호호' 화순,가족센터 및 화순읍(프로그램별 장소 상이),2025생활밀착형 문화예술교육지원사업 '가가호호' 화순,"국악,음악,공예,사진,문학,연극/뮤지컬,융복합",,2025-06-14,2025-11-30,전라남도 화순군 화순읍 대교로 11,전남,화순군,35.0635719223406,126.980445859734
94,(사)대구스트릿컬쳐팩토리,2024 예술로 어울림 사업 취향의숲 _ 성과 공유회,카페 아르토,2024 예술로 어울림,"음악,영화,문학,연극/뮤지컬,무용,융복합,기타","청년,중장년",2024-11-13,2024-11-13,대구광역시 남구 봉덕공원길 5,대구,남구,35.8419210545753,128.605694411439
95,(사)대구스트릿컬쳐팩토리,2024 예술로 어울림 사업 취향의숲 _ 결과 발표회,대명공연예술센터,2024 예술로 어울림,"음악,영화,문학,연극/뮤지컬,융복합,기타","청년,중장년",2024-11-10,2024-11-10,대구광역시 남구 계명중앙1길 54,대구,남구,35.8557143197696,128.582580492925
96,(사)대구스트릿컬쳐팩토리,2024 예술로 어울림 사업 취향의숲 남구편 시즌2,대명공연예술센터,2024 예술로 어울림,"음악,영화,문학,연극/뮤지컬,무용","청년,중장년",2024-07-12,2024-11-13,대구광역시 남구 계명중앙1길 54,대구,남구,35.8557143197696,128.582580492925
97,(사)대구스트릿컬쳐팩토리,2024 예술로 어울림 사업 취향의숲 남구편 시즌1,대명공연예술센터,2024 예술로 어울림,"음악,영화,문학,연극/뮤지컬,무용,융복합,기타","청년,중장년",2024-07-12,2024-11-13,대구광역시 남구 계명중앙1길 54,대구,남구,35.8557143197696,128.582580492925
98,(재)이수진한국인형극재단,한국전통인형제작워크샵,라동1층,2024 KPPF CONSERVATION PROJECT,"국악,공예,전통","청년,중장년",2024-11-17,2024-12-15,서울특별시 서대문구 통일로 333,서울,서대문구,37.5802075203852,126.951828115476
99,(문화집단)너느로,Drop the Play,은뜨락@ 상가3호,2024 생애주기별 문화예술교육 지원사업 「꿈다락 문화,연극/뮤지컬,"아동,청소년",2024-07-20,2024-10-05,서울특별시 은평구 통일로 972,서울,은평구,37.6301758375471,126.91991625048
100,(문화집단)너느로,몸으로말해요,,꿈다락예술문화학교,무용,노년,,,서울시 은평구 서오릉로87 은평구평생학습관 미디어홀,서울,은평구,37.6078236368099,126.921183962316
101,(문화집단)너느로,생애전환 문화예술교육 예술가와 함께 떠나는 희곡여행,,꿈다락예술문화학교,연극/뮤지컬,"청년,중장년",,,은평구 통일로 972 은뜨락@ 상가3호 나무가모인숲,서울,은평구,37.6301758375471,126.91991625048
102,공터,드림아트랩 4.0 벙커 465-16; 자청비 (제주/서귀포),,꿈다락예술문화학교,"문학,융복합",아동,,,제주시 서광로29길 17 이도1동청소년문화의집,제주특별자치도,제주시,33.5017930865038,126.526216262488
103,공터,"예술쉼표 먹고 살기 바쁜데, 무슨 문화夜: 함께 모여 만드는 음악 레시피",,꿈다락예술문화학교,음악,"청년,중장년",,,제주시 서문로 29 지하 비밀아지트,제주특별자치도,제주시,33.5105634215441,126.514575739506
104,리앗,감각 더하기 감정 빼기,뚜띠콜로리살롱,2024 꿈다락 문화예술학교,"음악,사진,미술,미디어,융복합,기타",중장년,2024-10-07,2024-11-07,제주특별자치도 제주시 애월읍 장전로 91,제주특별자치도,제주시,33.4512488417483,126.387825352344
