구분,단체이름,프로그램명,운영장소명,지원사업명,프로그램분야,프로그램대상,운영기간시작,운영기간종료,운영주소,시도,시군구,lat,lon
216,꿈노리 예술교육연구소,예술로 은빛마을,,꿈다락예술문화학교,"음악,미술,무용",노년,,,성북구 한천로 708 장위어르신행복지원센터 3층 장위실버복지센터,서울,성북구,37.62009081725,127.053512520284
217,꿈노리 예술교육연구소,은빛학교에 울리는 학교종,삼선실버복지센터,2024 <꿈다락 문화예술학교>,"음악,미술,융복합",노년,2024-08-13,2024-10-29,서울특별시 성북구 삼선교로18길 41,서울,성북구,37.5891539114181,127.014079224649
218,꿈노리 예술교육연구소,도서관 연계 프로그램 이야기는 데굴데굴,,꿈다락예술문화학교,"음악,미술,문학,연극/뮤지컬",아동,,,"고양시 일산동구 공릉천로 68, 관리동2층 사리현작은도서관",경기,고양시 일산동구,37.6991849205409,126.846433925841
219,꿈노리 예술교육연구소,예술로 은빛로그 (라떼가 궁금해?),3층 장위실버복지센터,2024  <꿈다락 문화예술학교>,"음악,미술,미디어,융복합",노년,2024-08-05,2024-10-14,서울특별시 성북구 한천로 708,서울,성북구,37.62009081725,127.053512520284
220,미리봄 미디어교육협동조합,검은토끼의 특별한 외출,미리봄 미디어교육협동조합,,"영화,사진,미디어,융합","유아,아동",2023-05-10,2023-11-30,강원특별자치도 춘천시 동내면 금촌로 84-86,강원특별자치도,춘천시,37.8518507898122,127.783618505911
221,아난다 예술심리상담연구소,마음치유 음악이랑 우리랑(관계성향상 게슈탈트 음악치료),수내초등학교,"2025 문화로 치유 지원사업 '마음치유,봄처럼'","음악,융복합,기타",,2025-05-07,2025-11-06,경기도 성남시 분당구 백현로243번길 12,경기,성남시 분당구,37.3677656442667,127.124662625174
222,예술로(대구지부),청소년X예술가 희희Knock!Knock!,,꿈다락예술문화학교,연극/뮤지컬,청소년,,,"남구 중앙대로157, 4층 예술로(대명동)",대구,남구,35.8474566767218,128.590208577693
223,예술로(대구지부),생애전환 문화예술학교 파란만장 중년의 도전기!,,꿈다락예술문화학교,연극/뮤지컬,중장년,,,"달서구 문화회관길 160 달서아트센터 3, 5 강의실",대구,달서구,35.8434223614114,128.522826252636
224,감성놀이,2024 꿈다락 문화예술학교<AR 속 황혼배우의 연극>,남양주야학,2024 꿈다락 문화예술학교,"미술,연극/뮤지컬,미디어,융복합",노년,2024-07-25,2024-11-28,경기도 남양주시 금곡로 3,경기,남양주시,37.6332862641613,127.203571897317
225,극단진동,시간을 그리다 액티비티 드로잉 (Activity Drawing),,꿈다락예술문화학교,"미술,연극/뮤지컬","아동,청소년",,,강북구 삼양로 455 4층 마을극장 수유리,서울,강북구,37.643900176706,127.015785423103
226,극단해풍,연극으로 풀어보는 사회문제 이거 심상치가 않네,4층,2024꿈다락문화예술학교,연극/뮤지컬,,2024-06-28,2024-11-29,부산광역시 북구 만덕대로142번길 39,부산,북구,35.2113740462417,129.020416996995
227,극단해풍,내가 꾸었던 꿈- 나만의 연극만들기,4층,2024꿈다락문화예술학교,연극/뮤지컬,,2024-06-25,2024-11-26,부산광역시 북구 만덕대로142번길 39,부산,북구,35.2113740462417,129.020416996995
228,극단홍시,우리마을에 예술가가 산다. -Bravo My Life,고객쉼터,2024 생애주기별 문화예술교육 [꿈다락 문화예술학교],연극/뮤지컬,중장년,2024-07-11,2024-11-28,대전광역시 중구 대둔산로408번길 21-12,대전,중구,36.3060125543232,127.387968185388
229,극단홍시,우주여행- 내가 만나는 수많은 별 중에,대덕구청소년어울림센터,2024 생애주기별 문화예술교육 [꿈다락 문화예술학교],연극/뮤지컬,청소년,2024-07-01,2024-11-25,대전광역시 대덕구 쌍청당로 25,대전,대덕구,36.3643292095566,127.434183483524
230,깔깔미로,모랫길,동해시립북삼도서관,꿈다락문화예술학교,"디자인,공예,미술",,2025-09-06,2025-09-28,강원특별자치도 동해시 효자로 649,강원특별자치도,동해시,37.4927099135292,129.104418887485
231,깔깔미로,"내 꼬라지, 예술이 어때서",동해시립북삼도서관,꿈다락문화예술학교,"음악,공예,무용",중장년,2025-08-18,2025-10-27,강원특별자치도 동해시 효자로 649,강원특별자치도,동해시,37.4927099135292,129.104418887485
232,꽃과사람,내 마음 다시 꽃피우다,영천시 정신건강복지센터,"2025 문화로 치유 지원사업 「마음치유, 봄처럼」","미술,기타",노년,2025-05-13,2025-10-21,경상북도 영천시 금호읍 금호로 360,경북,영천시,35.9405552295189,128.899060468265
233,노니퍼니,아빠 엄마와 함께하는 정커션(JUNKUSSION=junk+percussion),,꿈다락예술문화학교,음악,"아동,중장년",,,"영등포구 도림로145길 19-4, 1층 노니퍼니",서울,영등포구,37.5147312962404,126.889548901418
234,노니퍼니,아빠와 함께하는 정커션(JUNKUSSION),,꿈다락예술문화학교,음악,"아동,중장년",,,"영등포구 도림로145길 19-4, 1층 노니퍼니",서울,영등포구,37.5147312962404,126.889548901418
235,노니퍼니,군악대 무대공연 프로젝트,"1군단 본부근무대, 56사단 본부근무대, 12사단 본부근무대",,음악,청년,2023-05-30,2023-11-30,서울특별시 영등포구 도림로145길 19-4 (보안상 주소등록 불가),서울,영등포구,37.5145815427984,126.889541769863
236,메이아이,자연예술가,"광주, 전남 지역 늘봄학교",2024 늘봄학교 문화예술교육 지원사업,"미술,융복합,기타",아동,2024-03-04,2024-07-26,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
237,메이아이,지구별 놀이터,"광주, 전남 지역 늘봄학교",2024 늘봄학교 문화예술교육 지원사업,융복합,아동,2024-03-05,2024-07-26,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
238,메이아이,연극놀이,전북 지역 늘봄학교,2024 늘봄학교 문화예술교육 지원사업,"미술,연극/뮤지컬,융복합,기타",아동,2024-03-19,2024-07-26,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
239,메이아이,움직이는 애니메이션 만들기,"광주, 전남, 전북 지역 늘봄학교",2024 늘봄학교 문화예술교육 지원사업,"만화/애니메이션,사진,융복합,기타",아동,,,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
240,메이아이,도토리 놀이터,"광주, 전남 지역 늘봄학교",2024 늘봄학교 문화예술교육 지원사업,"융복합,기타",아동,2024-03-05,2024-07-26,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
241,메이아이,지구와로,광주 지역 늘봄학교,2024 늘봄학교 문화예술교육 지원사업,"미술,융복합,기타",아동,2024-03-04,2024-07-23,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
242,메이아이,나도 어린이 만화가!,"광주, 전남, 전북 지역 늘봄학교",2024 늘봄학교 문화예술교육 지원사업,"만화/애니메이션,융복합",아동,2024-03-14,2024-07-18,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
243,메이아이,"자연과 환경을 지키는 뚝딱, 미술 공작",전남 지역 늘봄학교,2024 늘봄학교 문화예술교육 지원사업,"미술,융복합,기타",아동,2024-03-11,2024-07-22,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
244,메이아이,창의력 뿜뿜! 나는 요리사,"광주, 전남, 전북 지역 늘봄학교",2024 늘봄학교 문화예술교육 지원사업,"미술,융복합,기타",아동,2024-03-12,2024-07-22,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
245,메이아이,신나는 SW·AI 코딩 로봇 교실,전남 지역 늘봄학교,2024 늘봄학교 문화예술교육 지원사업,"융복합,기타",아동,2024-03-19,2024-07-16,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
246,메이아이,두두두,광주 지역 늘봄학교,2024 늘봄학교 문화예술교육 지원사업,"디자인,공예,미술,융복합",아동,2024-03-07,2024-07-25,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
247,메이아이,놀이와 발레가 만나면,"광주, 전남, 전북 지역 늘봄학교",2024 늘봄학교 문화예술교육 지원사업,"무용,융복합,기타",아동,2024-03-12,2024-07-22,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
248,메이아이,너랑 나랑 만드는 놀이세상,"광주, 전남, 전북 지역 늘봄학교",2024 늘봄학교 문화예술교육 지원사업,"공예,융복합,기타",아동,2024-03-12,2024-07-25,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
249,메이아이,숟가락과 몸으로 표현하는 예술나라,"광주, 전남, 전북 지역 늘봄학교",2024 늘봄학교 문화예술교육 지원사업,"음악,무용,융복합",아동,,,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
250,메이아이,연극동화,전북 지역 늘봄학교,2024 늘봄학교 문화예술교육 지원사업,"음악,미술,연극/뮤지컬,융복합,기타",아동,,,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
251,메이아이,연극음악,전북 지역 늘봄학교,2024 늘봄학교 문화예술교육 지원사업,"음악,미술,연극/뮤지컬,융복합,기타",아동,,,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
252,메이아이,놀이 더하기 놀이(연극과 전통놀이의 콜라보),"광주, 전남, 전북 지역 늘봄학교",2024 늘봄학교 문화예술교육 지원사업,"연극/뮤지컬,융복합,기타",아동,2024-03-14,2024-07-24,전라남도 담양군 담양읍 반룡길 24-13,전남,담양군,35.2987199040421,126.980654095642
253,모모살롱,별난 예술방,남양주보건소 2층,"2025 문화로 치유 지원사업  「마음치유, 봄처럼」","공예,미술,문학,연극/뮤지컬",노년,2025-05-16,2025-10-24,경기도 남양주시 경춘로 522,경기,남양주시,37.6102430253217,127.171961223238
254,모모살롱,예술로 봄봄봄,1층,"2025 문화로 치유 지원사업  「마음치유, 봄처럼」","미술,연극/뮤지컬",중장년,2025-05-13,2025-11-04,인천광역시 강화군 강화읍 충렬사로 26-1,인천,강화군,37.7372942002653,126.484858623273
255,모모살롱,별다방 이야기,하남미사보건센터 2층,"2025 문화로 치유 지원사업  「마음치유, 봄처럼」","미술,연극/뮤지컬",노년,2025-05-20,2025-10-28,경기도 하남시 미사강변대로 200,경기,하남시,37.5676390848,127.185540974827
256,모모살롱,별빛다방,5층 성북구치매안심센터,"2024 문화예술치유 프로그램 지원사업 「마음치유, 봄","연극/뮤지컬,무용",노년,2024-05-13,2024-10-07,서울특별시 성북구 화랑로 63,서울,성북구,37.6027616666352,127.039514009476
